CNT,CLIENT_ADDVERY_SEGMENT_JUN,CLIENT_ADDVERY_SEGMENT_JUL,CLIENT_ADDVERY_SEGMENT_AUG,CLIENT_ADDVERY_SEGMENT_SEP,CLIENT_ADDVERY_SEGMENT_OCT,CLIENT_ADDVERY_SEGMENT_NOV
226,1-Active,2-Onboarding,2-Onboarding,3-Retention,3-Retention,3-Retention
135108,2-Onboarding,2-Onboarding,3-Retention,3-Retention,3-Retention,3-Retention
264,1-Active,1-Active,1-Active,2-Onboarding,2-Onboarding,3-Retention
41,1-Active,1-Active,1-Active,2-Onboarding,1-Active,1-Active
795,3-Retention,3-Retention,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
1,4-Winback,1-Active,1-Active,2-Onboarding,2-Onboarding,1-Active
1553,1-Active,1-Active,1-Active,1-Active,3-Retention,1-Active
17,3-Retention,1-Active,1-Active,3-Retention,1-Active,3-Retention
1,1-Active,3-Retention,1-Active,2-Onboarding,3-Retention,3-Retention
21008,1-Active,1-Active,3-Retention,3-Retention,3-Retention,3-Retention
24,4-Winback,4-Winback,4-Winback,1-Active,1-Active,3-Retention
12,3-Retention,3-Retention,4-Winback,2-Onboarding,1-Active,1-Active
2,2-Onboarding,3-Retention,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
673,2-Onboarding,2-Onboarding,3-Retention,3-Retention,1-Active,1-Active
12,2-Onboarding,1-Active,2-Onboarding,1-Active,1-Active,1-Active
3,2-Onboarding,1-Active,2-Onboarding,1-Active,1-Active,2-Onboarding
2198,3-Retention,3-Retention,1-Active,1-Active,1-Active,3-Retention
9497733,4-Winback,4-Winback,4-Winback,4-Winback,4-Winback,4-Winback
103,4-Winback,4-Winback,1-Active,1-Active,2-Onboarding,2-Onboarding
3,2-Onboarding,2-Onboarding,1-Active,2-Onboarding,1-Active,3-Retention
250,3-Retention,3-Retention,4-Winback,4-Winback,4-Winback,1-Active
30,4-Winback,4-Winback,4-Winback,3-Retention,2-Onboarding,2-Onboarding
2,1-Active,1-Active,1-Active,1-Active,3-Retention,2-Onboarding
13,2-Onboarding,1-Active,1-Active,1-Active,2-Onboarding,1-Active
21,4-Winback,4-Winback,4-Winback,4-Winback,1-Active,3-Retention
157555,3-Retention,3-Retention,3-Retention,3-Retention,4-Winback,4-Winback
4,1-Active,1-Active,1-Active,3-Retention,1-Active,2-Onboarding
1,1-Active,2-Onboarding,1-Active,2-Onboarding,2-Onboarding,2-Onboarding
184,1-Active,3-Retention,1-Active,1-Active,1-Active,3-Retention
15,3-Retention,3-Retention,4-Winback,1-Active,1-Active,2-Onboarding
98633,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
119,4-Winback,4-Winback,2-Onboarding,2-Onboarding,2-Onboarding,1-Active
468,4-Winback,4-Winback,4-Winback,4-Winback,1-Active,2-Onboarding
20656,1-Active,1-Active,1-Active,3-Retention,3-Retention,3-Retention
199,3-Retention,4-Winback,4-Winback,1-Active,1-Active,1-Active
39,1-Active,3-Retention,1-Active,3-Retention,3-Retention,1-Active
34,3-Retention,3-Retention,3-Retention,3-Retention,4-Winback,3-Retention
